student_id,month,attendance_pct,avg_score,ai_usage_hours,performance_delta,engagement_score
1,Jan,86.65,78.89,5.05,2.52,58.05
1,Feb,86.89,79.58,6.71,3.22,60.19
1,Mar,87.84,81.37,12.17,5.01,67.31
1,Apr,88.73,79.52,7.08,3.16,61.74
1,May,89.23,82.04,13.32,5.67,69.52
1,Jun,88.75,82.85,6.87,6.49,61.5
1,Jul,87.67,82.38,3.5,6.02,56.81
1,Aug,88.93,83.12,4.65,6.76,58.94
1,Sep,89.74,84.46,13.94,8.1,70.58
1,Oct,91.23,85.4,5.06,9.03,60.81
1,Nov,92.6,85.54,10.81,9.18,68.54
1,Dec,92.23,86.03,8.18,9.66,65.15
2,Jan,72.69,60.7,4.19,0.27,48.65
2,Feb,73.0,60.8,12.91,0.37,59.29
2,Mar,74.23,61.47,13.35,1.03,60.56
2,Apr,73.76,60.98,4.54,0.55,49.71
2,May,73.87,60.63,14.92,0.2,62.22
2,Jun,74.23,61.3,7.51,0.86,53.55
2,Jul,73.22,62.51,20.56,2.08,68.61
2,Aug,75.32,64.5,16.64,4.07,65.16
2,Sep,75.13,65.76,9.76,5.33,56.79
2,Oct,76.49,68.74,12.49,8.3,60.88
2,Nov,76.28,67.95,11.13,7.52,59.13
2,Dec,76.06,68.57,8.15,8.13,55.42
3,Jan,69.47,58.07,4.07,-0.27,46.57
3,Feb,69.44,58.66,8.43,0.32,51.78
3,Mar,68.87,59.26,14.87,0.92,59.17
3,Apr,68.7,60.19,4.25,1.85,46.32
3,May,69.19,60.57,10.15,2.23,53.69
3,Jun,69.76,60.9,14.23,2.56,58.93
3,Jul,69.92,61.34,0.42,3.0,42.46
3,Aug,70.31,61.73,4.1,3.39,47.1
3,Sep,70.29,61.66,4.95,3.32,48.11
3,Oct,70.59,62.66,9.27,4.32,53.48
3,Nov,68.6,61.65,2.06,3.31,43.63
3,Dec,68.45,62.93,2.13,4.59,43.62
4,Jan,89.11,69.23,10.63,0.46,66.22
4,Feb,90.08,70.58,30.63,1.81,90.8
4,Mar,91.2,71.73,1.79,2.96,56.87
4,Apr,90.31,74.11,14.73,5.34,71.86
4,May,91.25,73.68,3.77,4.91,59.27
4,Jun,91.59,73.04,2.14,4.27,57.52
4,Jul,91.37,72.85,14.09,4.08,71.73
4,Aug,91.45,72.27,2.95,3.5,58.41
4,Sep,91.56,72.23,0.32,3.46,55.32
4,Oct,91.88,73.29,8.43,4.52,65.24
4,Nov,93.29,73.59,2.8,4.82,59.33
4,Dec,94.26,75.79,22.85,7.02,83.97
5,Jan,75.47,61.74,6.25,1.16,52.78
5,Feb,74.53,60.83,4.4,0.25,50.0
5,Mar,74.88,61.93,9.44,1.35,56.26
5,Apr,73.58,62.07,13.51,1.48,60.36
5,May,72.24,61.96,7.68,1.37,52.56
5,Jun,72.56,62.61,8.07,2.03,53.22
5,Jul,72.24,63.03,2.56,2.44,46.41
5,Aug,71.43,63.42,3.42,2.84,46.96
5,Sep,72.87,63.18,11.98,2.6,58.1
5,Oct,72.93,64.44,15.1,3.85,61.88
5,Nov,73.16,64.53,16.47,3.95,63.66
5,Dec,71.85,65.1,7.37,4.52,51.95
6,Jan,76.55,72.54,29.41,2.47,81.22
6,Feb,74.64,74.06,4.95,4.0,50.72
6,Mar,74.67,74.54,2.11,4.48,47.33
6,Apr,73.37,75.56,10.97,5.49,57.18
6,May,72.31,77.39,29.42,7.33,78.69
6,Jun,73.04,77.91,8.6,7.84,54.15
6,Jul,73.82,77.42,4.84,7.36,50.1
6,Aug,73.17,78.68,14.93,8.61,61.82
6,Sep,73.82,80.47,22.05,10.41,70.76
6,Oct,72.87,81.37,7.06,11.31,52.2
6,Nov,72.72,82.14,15.42,12.08,62.14
6,Dec,75.12,82.18,3.87,12.11,49.72
7,Jan,86.95,65.98,6.23,-0.64,59.64
7,Feb,85.38,66.9,1.68,0.28,53.24
